English,Japanese
attention,注目
choice,選択肢
speech,スピーチ
patient,患者
truth,真実
road,道路
term,言葉
site,サイト
worker,労働者
professor,教授
letter,手紙
reform,改革
concern,懸念
folk,フォーク
sex,セックス
study,調査
college,大学
voter,有権者
wall,壁
evening,夜
meeting,ミーティング
voice,声
audience,聴衆
violence,暴力
rule,ルール
star,スター
test,テスト
education,教育
trouble,トラブル
risk,リスク
prison,刑務所
guest,ゲスト
class,クラス
society,社会
soldier,兵士
plane,プレーン
amount,量
help,助けて
cost,コスト
authority,権威
foot,足
period,期間
feeling,気持ち
step,ステップ
cause,原因
tape,テープ
threat,脅威
opinion,意見
organization,組織
type,タイプ
conversation,会話
disease,病気
operation,操作
cancer,癌
magazine,雑誌
governor,知事
pressure,圧力
majority,大多数
research,調査
character,キャラクター
station,駅
crisis,危機
expert,専門家
blood,血
chairman,会長
argument,引数
list,リスト
dog,犬
computer,コンピュータ
beginning,初め
insurance,保険
field,フィールド
sister,姉妹
mistake,間違い
player,プレイヤー
energy,エネルギー
paper,紙
space,スペース
store,店舗
agreement,合意
responsibility,責任
lady,女性
order,オーダー
summer,夏
product,製品
value,値
stock,株式
intelligence,インテリジェンス
teacher,教師
agency,代理店
trade,トレード
conference,会議
cell,セル
church,教会
comment,コメント
source,ソース
past,過去
cut,カット
thought,思考
credit,クレジット
hope,希望
sign,記号
career,キャリア
marriage,結婚
condition,条件
witness,証人
technology,テクノロジー
stage,ステージ
staff,スタッフ
arm,アーム
mission,ミッション
art,アート
actor,俳優
battle,戦い
top,トップ
citizen,市民
author,著者
reaction,反応
gentleman,紳士
leadership,リーダーシップ
fear,恐怖
example,例
language,言語
need,必要性
justice,正義
discussion,議論
border,ボーダー
animal,動物
detail,詳細
response,応答
network,ネットワーク
movement,ムーブメント
use,使用
male,男性
capital,首都
hearing,公聴会
standard,標準
benefit,利益
table,テーブル
treatment,治療
agent,エージェント
card,カード
shot,ショット
board,ボード
reality,現実
sir,先生
land,土地
project,プロジェクト
light,光
image,画像
century,世紀
page,ページ
success,成功
sound,音
impact,インパクト
pain,痛み
season,シーズン
individual,個々
sport,スポーツ
studio,スタジオ
decade,10年
challenge,挑戦
dream,夢
newspaper,新聞
floor,フロア
fight,戦い
safety,安全性
act,行為
trip,旅
course,もちろん
possibility,可能性
freedom,自由
fund,ファンド
seat,座席
bomb,爆弾
form,フォーム
executive,エグゼクティブ
minister,大臣
deficit,赤字
development,開発
flight,フライト
secretary,秘書
committee,委員会
consumer,消費者
rock,岩
figure,フィギュア
subject,件名
culture,文化
hair,髪
coverage,報道
loss,損失
dad,お父さん
note,注意
activity,アクティビティ
goal,ゴール
option,オプション
gas,ガス
region,地域
population,人口
ability,能力
resolution,解像度
employee,従業員
brain,脳
politician,政治家
middle,ミドル
storm,嵐
generation,世代
critic,評論家
fan,ファン
scientist,科学者
target,ターゲット
camp,キャンプ
afternoon,午後
direction,方向
science,科学
journalist,ジャーナリスト
degree,学位
affair,不倫
damage,被害
strategy,戦略
factor,要因
plant,プラント
democracy,民主主義
doubt,疑い
solution,ソリューション
spending,支出
training,トレーニング
abuse,虐待
danger,危険
environment,環境
memory,メモリ
nature,自然
material,材料
document,ドキュメント
income,収入
analyst,アナリスト
play,遊び
guard,ガード
hotel,ホテル
editor,エディタ
missile,ミサイル
accident,事故
purpose,目的
writer,ライター
emergency,緊急
growth,成長
bed,ベッド
welfare,福祉
adult,アダルト
faith,信仰
proposal,提案
model,モデル
army,軍
incident,事件
box,ボックス
crowd,群衆
respect,尊敬
department,部門
access,アクセス
date,日付
chief,チーフ
weather,天気
airport,空港
machine,マシン
window,窓
agenda,議題
advice,アドバイス
prosecution,起訴
conflict,紛争
fall,秋
pilot,パイロット
practice,練習
track,トラック
owner,所有者
increase,増加する
legislation,立法
tree,ツリー
debt,借金
enemy,敵
truck,トラック
lead,リード
convention,大会
aid,援助
suicide,自殺
quality,品質
conservative,保守的
size,サイズ
account,アカウント
pleasure,喜び
institution,施設
airline,航空会社
weight,重量
approach,アプローチ
surgery,手術
holiday,休日
start,スタート
victory,勝利
district,地区
relation,関係
search,検索
crew,乗組員
panel,パネル
coalition,連合
move,移動
package,パッケージ
check,チェック
minority,少数派
unit,ユニット
bag,バッグ
surprise,驚き
focus,焦点
circumstance,状況
producer,プロデューサー
investment,投資
ball,ボール
colleague,同僚
resource,リソース
judgment,判決
background,背景
union,組合
address,アドレス
driver,ドライバ
hero,ヒーロー
medicine,医学
representative,代表
vehicle,車両
commander,司令官
artist,アーティスト
mayor,市長
run,実行
ship,船
theory,理論
screen,スクリーン
lesson,レッスン
resident,居住者
partner,パートナー
bar,バー
ticket,チケット
disaster,災​​害
performance,パフォーマンス
supporter,サポーター
killer,キラー
negotiation,交渉
sea,海
wind,風
shoe,靴
secret,秘密
tragedy,悲劇
gift,贈り物
tour,ツアー
manager,マネージャー
band,バンド
birth,誕生
host,ホスト
loan,ローン
allegation,申し立て
winner,勝者
religion,宗教
article,記事
session,セッション
being,幸福
extent,範囲
contract,契約
sentence,文
measure,対策
deputy,副
confidence,自信
hell,地獄
relief,救済
perspective,視点
advantage,利点
scandal,スキャンダル
leg,足
restaurant,レストラン
dinner,夕食
client,クライアント
failure,失敗
quarter,四半期
element,要素
claim,請求
property,プロパティ
version,バージョン
attempt,試み
bus,バス
customer,顧客
appeal,アピール
pound,ポンド
protection,保護
gene,遺伝子
stone,石
opposition,反対
apartment,アパート
front,フロント
female,女性
prisoner,囚人
black,黒
gang,ギャング
principle,原則
ally,同盟国
adviser,顧問
visit,訪問
bird,鳥
stand,スタンド
communication,通信
boat,ボート
connection,接続
key,キー
strike,ストライキ
penalty,ペナルティ
warning,警告
luck,運
dna,DNA
spirit,精神
turn,ターン
facility,施設
teenager,ティーンエイジャー
commitment,コミットメント
item,アイテム
procedure,手順
half,半分
tank,タンク
telephone,電話
supply,サプライ
attitude,態度
block,ブロック
bond,債券
style,スタイル
football,サッカー
fuel,燃料
data,データ
glass,ガラス
suit,スーツ
strength,強
criticism,批判
ice,アイス
equipment,機器
promise,約束
return,リターン
album,アルバム
production,生産
corner,コー​​ナー
consequence,結果
living,生活
injury,けが
cover,カバー
spot,スポット
breast,乳房
spring,春
controversy,論争
destruction,破壊
aspect,側面
club,クラブ
aircraft,航空機
firm,事務所
regime,政権
competition,競争
profit,利益
knowledge,知識
spokesman,スポークスマン
review,レビュー
understanding,理解
recession,不況
singer,歌手
village,村
arrest,逮捕
snow,雪
joke,ジョーク
gold,金
contact,接触
demand,需要
task,タスク
hole,穴
general,一般的な
skin,皮膚
count,数
opponent,対戦相手
conclusion,結論
priority,優先
rape,レイプ
refugee,難民
mountain,山
summit,サミット
bottom,ボトム
management,経営
commission,委員会
range,レンジ
code,コー​​ド
cash,現金
mouth,口
presence,存在感
share,シェア
fashion,ファッション
shape,形状
chair,椅子
finger,指
fish,魚
edition,エディション
edge,エッジ
limit,リミット
train,列車
belief,信念
balance,バランス
exchange,交換
farm,農場
zone,ゾーン
passenger,乗客
lie,うそ
duty,義務
traffic,トラフィック
horse,馬
tradition,伝統
recovery,回復
inspector,検査官
difficulty,難しさ
file,ファイル
birthday,誕生日
finance,金融
crash,クラッシュ
influence,影響
regulation,レギュレーション
analysis,解析
struggle,闘争
heat,熱
dress,ドレス
release,リリース
winter,冬
virus,ウイルス
theme,テーマ
notion,概念
device,デバイス
anger,怒り
english,英語
flag,フラグ
context,コンテキスト
wing,ウイング
fighting,戦闘
pattern,パターン
entertainment,エンターテインメント
appearance,外観
saving,節約
investor,投資家
bridge,橋
settlement,決済
rain,雨
wood,木材
mail,郵便
farmer,農家
mystery,ミステリー
prayer,祈り
vision,ビジョン
depression,うつ病
explosion,爆発
defendant,被告
structure,構造
amendment,改正
assault,暴行
thinking,思考
therapy,治療
nurse,看護師
path,パス
funding,資金調達
tool,ツール
title,タイトル
housing,住宅
shop,ショップ
complaint,苦情
wave,波
cat,猫
map,マップ
employer,雇用者
proof,証拠
emotion,感情
skill,スキル
trust,信託
topic,トピック
personality,性格
hall,ホール
cabinet,キャビネット
bone,骨
soul,魂
chicken,チキン
location,場所
indication,適応症
speaker,スピーカー
wage,賃金
era,時代
request,リクエスト
boss,ボス
coach,コー​​チ
estate,不動産
sector,セクター
egg,卵
stake,杭
stop,停止
ring,リング
shock,ショック
contribution,貢献
announcement,発表
cigarette,たばこ
kitchen,キッチン
territory,領土
command,コマンド
island,島
protest,抗議
impression,印象
fault,故障
coast,海岸
reading,読書
variety,いろいろ
revenue,収入
bell,鐘
coffee,コー​​ヒー
alcohol,アルコール
lunch,ランチ
expectation,期待
grade,グレード
diet,ダイエット
section,セクション
ear,耳
sky,スカイ
assistance,援助
signal,信号
stress,ストレス
alternative,代替案
researcher,研究者
cable,ケーブル
opening,オープニング
beach,ビーチ
volunteer,ボランティア
burden,負担
detective,探偵
toy,おもちゃ
gain,ゲイン
asset,資産
pool,プール
trend,トレンド
survey,調査
planet,惑星
river,川
identity,アイデンティティ
ocean,海
joy,喜び
delay,遅延
clinic,クリニック
yard,庭
tip,先端
divorce,離婚
sun,太陽
row,行
phrase,フレーズ
worth,価値がある
collection,コレクション
occasion,時
surface,表面
tie,ネクタイ
musician,ミュージシャン
concept,コンセプト
tension,緊張
outcome,結果
approval,承認
fellow,仲間
beauty,美しさ
casualty,死傷者
copy,コピー
mine,地雷
watch,ウォッチ
sleep,睡眠
average,平均
travel,旅行
fraud,詐欺
category,カテゴリ
exercise,エクササイズ
conviction,有罪判決
initiative,イニシアチブ
technique,テクニック
recording,記録
sight,視力
reduction,削減
whole,全体
corporation,株式会社
passion,情熱
funeral,葬儀
youth,若者
instrument,楽器
distance,距離
desert,砂漠
anniversary,記念日
writing,書き込み
invasion,侵略
compromise,妥協
illness,病気
tear,涙
gate,ゲート
forest,森
experiment,実験
golf,ゴルフ
talent,才能
post,ポスト
gap,ギャップ
priest,司祭
novel,小説
division,分裂
desire,欲望
hat,帽子
mortgage,住宅ローン
reputation,評判
score,スコア
shoulder,肩
relative,相対
column,コラム
payment,支払い
transition,トランジション
award,賞
capability,能力
definition,定義
pocket,ポケット
speed,スピード
concert,コンサート
climate,気候
clue,手掛かり
beer,ビール
nose,鼻
green,グリーン
garden,庭
satellite,衛星
ceremony,式典
human,人間
discovery,発見
ride,乗り
root,ルート
tea,お茶
motion,運動
percentage,パーセンテージ
combination,組み合わせ
explanation,説明
scale,スケール
chain,チェーン
twin,ツイン
capacity,容量
dealer,ディーラー
touch,タッチ
journey,旅
delegate,代理人
link,リンク
plastic,プラスチック
stimulus,刺激
cap,キャップ
roll,ロール
construction,建設
intention,意図
dispute,紛争
mood,気分
design,デザイン
childhood,子ども時代
engine,エンジン
lifetime,一生
nightmare,悪夢
dance,ダンス
meal,食事
offer,申し出
obligation,義務
advance,事前
charity,チャリティー
tourist,観光客
factory,工場
fat,脂肪
salt,塩
neck,首
bedroom,ベッドルーム
episode,エピソード
engineer,エンジニア
punishment,罰
testing,検査
instance,インスタンス
prospect,見通し
shopping,ショッピング
smoke,煙
meat,肉
hold,ホールド
retirement,退職
inflation,インフレ
drama,ドラマ
desk,デスク
salary,給与
bible,バイブル
grant,助成金
demonstration,デモ
dialogue,対話
substance,物質
core,コア
treaty,条約
personnel,職員
sample,サンプル
tactic,戦術
method,方法
noise,ノイズ
objective,客観
flower,花
cup,カップ
temperature,温度
symbol,シンボル
revolution,革命
taste,味
museum,博物館
profile,プロフィール
suggestion,提案
route,ルート
tooth,歯
consultant,コンサルタント
drive,ドライブ
disorder,障害
sugar,砂糖
rise,上昇
chip,チップ
motive,動機
shirt,シャツ
port,ポート
potential,潜在的な
schedule,スケジュール
parliament,議会
contest,コンテスト
atmosphere,雰囲気
branch,ブランチ
estimate,見積もり
symptom,症状
involvement,関与
discrimination,差別
heaven,天国
walk,散歩
operator,オペレータ
recommendation,推薦
rebel,反乱
round,ラウンド
maker,メーカー
wine,ワイン
remark,発言
mess,混乱
tone,トーン
resistance,抵抗
importance,重要性
exception,例外
platform,プラットフォーム
knife,ナイフ
perception,認知
fee,料金
master,マスター
circle,サークル
manner,やり方
jet,ジェット
meaning,意味
assessment,アセスメント
plate,プレート
expense,費用
plot,プロット
classroom,教室
brand,ブランド
painting,絵
roof,屋根
privilege,特権
drink,ドリンク
ban,禁止
content,コンテンツ
chemical,化学物質
french,フランス語
inspection,検査
incentive,インセンティブ
piano,ピアノ
bottle,ボトル
waste,廃棄物
error,エラー
label,ラベル
clock,クロック
cream,クリーム
good,良い
phase,相
philosophy,哲学
conduct,行為
cycle,サイクル
electricity,電気
bishop,司教
reader,リーダー
pregnancy,妊娠
league,リーグ
pet,ペット
foundation,財団
boom,ブーム
tower,タワー
feature,フィーチャー
withdrawal,撤退
breath,息
crack,亀裂
manufacturer,メーカー
specialist,専門家
reference,リファレンス
tale,物語
provision,提供
historian,歴史家
wire,ワイヤー
speculation,投機
pair,ペア
excuse,言い訳
chocolate,チョコレート
celebration,祝賀会
cheese,チーズ
fortune,フォーチュン
bathroom,バスルーム
function,機能
universe,宇宙
channel,チャンネル
smile,笑顔
milk,ミルク
requirement,要件
suspicion,疑惑
household,世帯
finding,認定
chest,胸
routine,ルーチン
consideration,検討
library,ライブラリ
harm,害
margin,マージン
object,オブジェクト
guitar,ギター
button,ボタン
silence,沈黙
improvement,改善
drop,ドロップ
appointment,任命
businessman,ビジネスマン
flow,流れ
metal,金属
mirror,ミラー
present,現在
carrier,キャリア
expression,表現
fate,運命
cloud,クラウド
muscle,筋肉
belt,ベルト
chapter,章
string,文字列
trading,取引
trick,トリック
guide,ガイド
volume,ボリューム
match,マッチ
fantasy,ファンタジー
knee,膝
compound,化合物
stomach,胃
height,高さ
draft,ドラフト
stranger,見知らぬ人
infection,感染
mass,マス
discipline,規律
fruit,フルーツ
visitor,訪問者
poem,詩
phenomenon,現象
fence,フェンス
application,アプリケーション
recipe,レシピ
clothing,衣類
guilt,罪
survival,生存
champion,チャンピオン
uniform,ユニフォーム
print,印刷
potato,ポテト
arrangement,アレンジメント
moon,月
bear,クマ
wound,傷
stability,安定性
pride,プライド
restriction,制限
total,合計
barrier,バリア
cousin,いとこ
occupation,職業
silver,銀
cake,ケーキ
lung,肺
wheel,ホイール
observer,オブザーバー
tune,チューン
description,説明
establishment,設立
chamber,室
horror,ホラー
banking,バンキング
apple,林檎
implication,含意
steel,スチール
throat,喉
essence,エッセンス
raid,襲撃
distinction,区別
german,ドイツ語
lip,リップ
timing,タイミング
insight,洞察力
coup,クーデター
shift,シフト
policeman,警官
habit,習慣
sheet,シート
offender,違反者
midnight,真夜中
execution,実行
anxiety,不安
enterprise,企業
strip,ストリップ
pop,ポップ
wonder,不思議
shadow,影
liberty,リバティ
fiction,フィクション
intervention,介入
creation,創造
marketing,マーケティング
christian,クリスチャン
pot,ポット
fishing,釣り
breakfast,朝食
tube,チューブ
determination,決定
sand,砂
permission,パーミッション
guideline,ガイドライン
shame,恥
riot,暴動
user,ユーザー
organ,オルガン
resort,リゾート
designer,デザイナー
comparison,比較
employment,雇用
bread,パン
wish,願い
lover,恋人
jacket,ジャケット
pass,パス
statute,法律
pace,ペース
frame,フレーム
confusion,混乱
guarantee,保証
commissioner,コミッショナー
flame,炎
assumption,仮定
graduate,卒業
entry,エントリー
ward,病棟
win,勝利
opera,オペラ
friendship,友情
exposure,暴露
pig,豚
mate,メイト
nerve,神経
length,長さ
cow,牛
pack,パック
instruction,命令
collapse,崩壊
assistant,アシスタント
objection,異議
diary,日記
scholar,学者
comfort,コンフォート
preparation,準備
province,県
passage,パッセージ
crystal,結晶
gear,ギア
stroke,ストローク
decline,下落
achievement,業績
existence,存在
alliance,提携
profession,職業
delivery,配達
publisher,出版社
sympathy,同情
dish,料理
worry,心配
component,コンポーネント
adventure,冒険
crop,作物
blow,打撃
sake,酒
sin,罪
pension,年金
garage,ガレ​​ージ
radiation,放射線
juice,ジュース
setting,設定
index,インデックス
vegetable,野菜
partnership,パートナーシップ
poetry,詩
recognition,認識
self,自己
standing,スタンディング
tissue,組織
shell,シェル
captain,キャプテン
grave,墓
rank,ランク
gender,性別
shortage,不足
prize,賞
coat,コー​​ト
seed,シード
rat,ラット
soil,土壌
shore,海岸
defeat,敗北
notice,予告
boot,ブーツ
chart,チャート
ministry,省
diamond,ダイヤモンド
finish,フィニッシュ
admission,入場
dark,暗い
laboratory,研究室
professional,プロ
reward,褒賞
infant,幼児
text,テキスト
shower,シャワー
dose,線量
panic,パニック
net,ネット
clerk,店員
miner,鉱山労働者
delegation,代表団
imagination,想像力
unity,団結
uncle,叔父
ingredient,成分
assignment,割り当て
currency,通貨
battery,バッテリー
tunnel,トンネル
resignation,辞任
buyer,バイヤー
bike,バイク
excitement,興奮
mouse,マウス
alarm,アラーム
poet,詩人
landscape,風景
selection,セレクション
cry,叫び
separation,分離
display,ディスプレイ
disability,身体障害
counter,カウンター
championship,チャンピオンシップ
butter,バター
portrait,肖像画
stick,スティック
engineering,エンジニアリング
myth,神話
essay,エッセイ
cold,冷たい
coal,石炭
contrast,コントラスト
observation,観測
tail,テール
mechanism,メカニズム
scheme,スキーム
presentation,プレゼンテーション
angel,天使
bonus,ボーナス
possession,所持
learning,学習
teaching,教育
deck,デッキ
creature,生き物
running,ランニング
literature,文学
weakness,弱点
blue,青
engagement,婚約
uncertainty,不確実性
inquiry,お問い合わせ
motivation,モチベーション
dust,ほこり
peak,ピーク
instinct,本能
needle,針
leaf,葉
launch,打ち上げ
laugh,笑い
leave,休暇
grass,草
iron,鉄
competitor,競合他社
complex,複雑な
bean,豆
pole,ポール
vessel,容器
subsidy,補助金
bid,入札
landing,着陸
pipe,パイプ
interpretation,解釈
tournament,トーナメント
hip,ヒップ
diagnosis,診断
pitch,ピッチ
journal,ジャーナル
ceiling,天井
export,輸出
awareness,認知度
cross,クロス
kiss,キス
examination,検査
empire,帝国
replacement,交換
duck,アヒル
formula,式
devil,悪魔
limitation,制限
compensation,補償
invitation,招待状
declaration,宣言
significance,意義
final,最後の
premium,プレミアム
ambulance,救急車
carpet,カーペット
temple,寺
constituent,成分
concession,譲歩
consent,同意
premise,前提
heritage,遺産
shelf,棚
hint,ヒント
rhythm,リズム
liability,負債
heel,ヒール
layer,層
strain,歪み
carbon,カーボン
forum,フォーラム
merit,メリット
youngster,若者
transfer,転送
distribution,配布
expansion,拡大
depth,深さ
blanket,毛布
kingdom,王国
mud,泥
arrival,到着
reflection,反射
envelope,封筒
reserve,リザーブ
hunting,狩猟
furniture,家具
gesture,ジェスチャー
residence,住宅
ambition,野望
nail,ネイル
spectrum,スペクトル
drawing,描画
enthusiasm,熱意
pen,ペン
preference,好み
absence,不在
oxygen,酸素
squad,分隊
pollution,汚染
lock,ロック
extension,延長
participant,参加者
architect,建築家
bench,ベンチ
rope,ロープ
aim,狙い
stream,ストリーム
evolution,進化
angle,角度
jurisdiction,管轄
charter,チャーター
ideology,イデオロギー
tide,潮
representation,表現
identification,識別
concentration,濃度
norm,規範
spread,スプレッド
rival,ライバル
disappointment,失望
tribunal,法廷
grain,穀物
proportion,割合
fool,愚か者
merger,合併
loyalty,忠誠
publication,出版
participation,参加
escape,エスケープ
shareholder,株主
constituency,選挙区
paint,ペイント
toilet,トイレ
ghost,ゴースト
attraction,アトラクション
lion,ライオン
craft,クラフト
custom,カスタム
cliff,崖
palace,宮殿
grip,グリップ
protein,タンパク質
accuracy,精度
theft,盗難
widow,未亡人
acceptance,受け入れ
accent,アクセント
smell,香り
departure,出発
membership,メンバーシップ
expertise,専門知識
repair,修理
assembly,アセンブリ
summary,要約
logic,ロジック
boundary,境界
equivalent,同等の
holder,ホルダー
dimension,寸法
rail,レール
transaction,トランザクション
left,左
sequence,シーケンス
festival,祭り
pit,ピット
horizon,地平線
bowl,ボウル
purchase,購入
plaintiff,原告
aunt,叔母
equity,エクイティ
load,ロード
scope,スコープ
darkness,闇
sandwich,サンドイッチ
parish,小教区
closure,閉鎖
pile,杭
ownership,所有権
origin,起源
defender,ディフェンダー
circuit,回路
introduction,導入
mode,モード
discount,割引
equation,方程式
entity,エンティティ
kit,キット
psychology,心理学
virtue,美徳
flexibility,柔軟性
trainer,トレーナー
continent,大陸
trader,トレーダー
bath,風呂
brick,れんが
indicator,インジケータ
seller,販売者
promotion,プロモーション
clash,衝突
characteristic,特徴
coin,コイン
assurance,保証
proposition,命題
tongue,舌
minimum,最小
collector,コレクター
capitalism,資本主義
basket,バスケット
framework,フレームワーク
consciousness,意識
switch,スイッチ
rent,家賃
curve,カーブ
cotton,コットン
patch,パッチ
import,インポート
isolation,隔離
entrance,入り口
necessity,必要性
square,広場
venture,ベンチャー
steam,スチーム
agriculture,農業
transformation,変態
sheep,羊
brush,ブラシ
database,データベース
deposit,預金
menu,メニュー
adjustment,調整
triumph,勝利
consumption,消費
guardian,保護者
curtain,カーテン
satisfaction,満足
calculation,計算
fleet,艦隊
remedy,救済策
lane,lane
certificate,証明書
swimming,水泳
emission,放出
fabric,ファブリック
medium,メディア
efficiency,効率
interaction,インタラクション
cab,タクシー
easter,イースター
glory,栄光
reception,レセプション
productivity,生産性
acid,酸
servant,サーバント
evaluation,評価
mill,工場
exhibition,展示会
sum,合計
counterpart,カウンターパート
sergeant,軍曹
storage,ストレージ
fraction,分数
innovation,イノベーション
stance,スタンス
motor,モーター
format,フォーマット
particle,粒子
trace,トレース
fluid,流体
curriculum,カリキュラム
doctrine,教義
developer,開発者
pause,一時停止
removal,除去
sensation,感覚
dividend,配当金
monopoly,独占
gallery,ギャラリー
lecture,講義
taxi,タクシー
discretion,裁量
flesh,肉
merchant,商人
quantity,数量
darling,最愛の人
justification,正当化
painter,画家
mixture,混合物
breach,違反
lift,リフト
pond,池
cheek,頬
successor,後継者
registration,登録
consultation,相談
qualification,資格
supplier,サプライヤー
autumn,秋
hardware,ハードウェア
leather,革
rabbit,ウサギ
paragraph,段落
companion,コンパニオン
bulk,バルク
corridor,廊下
workshop,ワークショップ
shade,日陰
accountant,会計士
sword,剣
formation,形成
integration,統合
expenditure,支出
input,入力
rod,ロッド
complexity,複雑
skirt,スカート
insect,昆虫
transport,輸送
mortality,死亡率
slope,スロープ
restoration,復元
nest,巣
variation,バリエーション
composition,合成
crown,クラウン
probability,確率
liberation,解放
attendance,出席
organism,生体
conservation,保全
sculpture,彫刻
champagne,シャンパン
architecture,アーキテクチャ
council,協議会
centre,センター
mrs,夫人
hill,丘
republic,共和国
treasury,国庫
gaze,視線
illustration,イラスト
commonwealth,連邦
rubbish,ごみ
jew,ユダヤ人
harbour,港
programme,プログラム
mile,マイル
magistrate,奉行
junction,ジャンクショ​​ン
fibre,繊維
daddy,パパ
white,白
shit,たわごと
colony,コロニー
king,王
colour,色
association,協会
park,公園
honour,名誉
cheque,チェック
allocation,割り当て
federation,フェデレーション
villa,別荘
chap,やつ
polytechnic,ポリテクニック
photograph,写真
councillor,評議員
inch,インチ
borough,区
cm,cm
hundred,100人
institute,協会
proceeding,手続き
lifespan,寿命
constable,巡査
colonel,大佐
university,大学
earth,地球
flat,フラット
duke,デューク
favour,好意
sociology,社会学
mum,お母さん
bureau,ビューロー
organisation,組織
co,共同
stairs,階段
rumour,うわさ
county,郡
criterion,基準
percent,パーセント
mummy,ミイラ
interface,インターフェース
isle,アイル
appendix,付録
cupboard,食器棚
redundancy,冗長性
bill,法案
mark,マーク
mp,MP
licence,ライセンス
bay,ベイ
dozen,ダース
tutor,家庭教師
no,いいえ
god,神
judgement,判決
vat,バット
terrace,テラス
avenue,大通り
directory,ディレクトリ
eagle,ワシ
archbishop,大司教
defence,防衛
miss,ミス
solicitor,事務弁護士
metre,メーター
catalogue,カタログ
van,バン
favourite,お気に入り
navy,ネイビー
abbey,アビー
ms,ミズ
builder,ビルダー
thousand,千
prince,王子
princess,王女
lorry,大型トラック
classification,分類
whisky,ウイスキー
mm,ミリ
other,その他
theatre,劇場
valley,谷
petrol,ガソリン
earl,アール
go,外出
specification,仕様
aids,エイズ
million,100万
lord,主
behaviour,行動
lad,若者
red,赤
traveller,旅行者
humour,ユーモア
photo,フォト
bush,ブッシュ
labour,労働
queen,女王
lake,湖
ref,参照
constitution,憲法
unix,UNIX
fig,イチジク
tv,テレビ
corp,CORP
neighbour,隣人
dollar,ドル
enquiry,お問い合わせ
tonne,トン
pensioner,年金受給者
offence,犯罪
billion,10億
rose,ローズ
purchaser,購入者
acre,エーカー
tory,トーリー
pope,ローマ法王
inn,宿
frequency,周波数
seminar,セミナー
interior,インテリア
verse,詩
receipt,領収書
breed,品種
measurement,測定
palm,手のひら
dock,ドック
pc,PC
disadvantage,デメリット
installation,インストール
advertisement,広告
implementation,実装
portfolio,ポートフォリオ
timber,木材
clause,句
discourse,談話
disc,ディスク
blade,ブレード
ratio,比
mineral,ミネラル
outline,アウトライン
addition,追加
machinery,機械
canal,運河
local,ローカル
disposal,処分
refusal,拒否
domain,ドメイン
register,レジスタ
audit,監査
availability,可用性
acquisition,買収
autonomy,自治
silk,シルク
beam,ビーム
accommodation,宿泊設備
applicant,申請者
modification,修正
tin,スズ
